"analysis_id","gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"MYH11_OE","BBOX1",2.07086219936764e-17,-1.65879669627042,5.52559547994249e-18,0.999999998124446,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","SCUBE1",2.0631639130448e-17,-1.65908499853514,5.48458980529568e-18,0.999999998131418,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","KLHL31",2.06195089656145e-17,-1.65913051704278,5.47814248228472e-18,0.999999998132517,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","IGLV3-19",2.06016399609933e-17,-1.65919761576211,5.4686518064511e-18,0.999999998134135,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","AL356515.1",2.05422582590501e-17,-1.65942098381885,5.43717180353002e-18,0.999999998139513,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","HS3ST6",2.0475269160978e-17,-1.65967368637273,5.40176796968383e-18,0.99999999814558,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","KLRF1",2.02508777554791e-17,-1.66052576976817,5.28401924049808e-18,0.999999998165903,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CTSG",2.0245319995315e-17,-1.66054698504437,5.28111928898643e-18,0.999999998166407,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","DES",1.99545181485075e-17,-1.66166463666753,5.13049391056723e-18,0.999999998192744,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","PMP2",1.99452774050492e-17,-1.66170039869092,5.12574324706017e-18,0.999999998193581,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","NRXN3",1.98092953757471e-17,-1.66222843582843,5.05608937001788e-18,0.999999998205897,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CRTAC1",1.98077784289238e-17,-1.66223434525083,5.05531503404128e-18,0.999999998206034,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
