"to_vertex","from_vertex","NA","from_UMAP_1","from_UMAP_2","to_UMAP_1","to_UMAP_2"
"Y_426","Y_212",1,-8.73762511075527,2.18993680277583,-8.65190820630492,1.87716954480887
"Y_426","Y_223",1,-8.62530030382771,1.65224519840482,-8.65190820630492,1.87716954480887
"Y_225","Y_223",1,-8.62530030382771,1.65224519840482,-8.48453440675373,1.47142333492681
"Y_232","Y_222",1,2.49529459640936,7.76784107765433,2.63130274701792,7.90642829499314
"Y_358","Y_221",1,6.6330944030359,-2.4290185319355,6.61274419817723,-2.2571943390787
"Y_236","Y_221",1,6.6330944030359,-2.4290185319355,6.71495836158189,-2.60758887086501
"Y_526","Y_219",1,4.93928344176572,11.0232085640909,4.35163063384285,10.6422078248787
"Y_526","Y_176",1,4.29622937764884,9.9070154764145,4.35163063384285,10.6422078248787
"Y_526","Y_109",1,3.81937908211398,10.9963994341309,4.35163063384285,10.6422078248787
"Y_220","Y_169",1,6.11458905761146,11.7852100425151,5.52693624968859,11.404209303303
"Y_220","Y_219",1,4.93928344176572,11.0232085640909,5.52693624968859,11.404209303303
"Y_841","Y_218",1,-8.59551572854576,0.575198105683043,-8.74923393395486,0.346014388941371
"Y_841","Y_144",1,-8.599050960259,0.0801511061614437,-8.74923393395486,0.346014388941371
"Y_226","Y_204",1,-8.48344486057766,1.0024061700957,-8.33648371434382,0.788735028623734
"Y_226","Y_218",1,-8.59551572854576,0.575198105683043,-8.33648371434382,0.788735028623734
"Y_314","Y_216",1,10.0022229166351,-0.6636308446732,10.0057118864611,-0.52728704319786
"Y_238","Y_215",1,7.83953020637321,-7.2741722044355,7.60001507484289,-7.35185522904082
"Y_222","Y_214",1,2.40604883571401,7.52862869332564,2.49529459640936,7.76784107765433
"Y_320","Y_212",1,-8.73762511075527,2.18993680277583,-9.12907723000245,2.19743341578885
"Y_612","Y_211",1,2.49322408263801,6.67432299028046,2.19307467352474,6.82021716345507
"Y_744","Y_155",1,-3.15827816153833,5.56937621391895,-2.95549614629615,5.87606626505431
"Y_744","Y_209",1,-3.19562355283588,6.64926544446784,-2.95549614629615,5.87606626505431
"Y_217","Y_207",1,6.53396409681132,-2.86665171002501,6.39074002776901,-2.95066513998397
"Y_602","Y_206",1,-1.8718727444883,10.8748026480302,-1.9390863429224,11.0328372682493
"Y_246","Y_206",1,-1.8718727444883,10.8748026480302,-1.86843448163821,10.8219007395239
"Y_329","Y_203",1,9.60171086703244,-0.9748953678062,9.52285446862898,-0.802070733986154
"Y_313","Y_203",1,9.60171086703244,-0.9748953678062,9.55013915520934,-1.14452817088925
"Y_321","Y_202",1,7.77883285576562,-6.95736811221634,7.76795118440308,-6.81460871189608
"Y_210","Y_115",1,7.51670763926192,-7.13290450993402,7.62812703134539,-7.0333953526721
"Y_210","Y_202",1,7.77883285576562,-6.95736811221634,7.62812703134539,-7.0333953526721
"Y_713","Y_201",1,5.8354447219379,7.69159447102269,5.78505043704677,7.7874881590544
"Y_713","Y_132",1,5.72789126645999,7.87462244607992,5.78505043704677,7.7874881590544
"Y_199","Y_139",1,2.99213602471275,11.7440560189291,3.06858110259716,11.666206476949
"Y_199","Y_198",1,3.11607125902278,11.6124180142922,3.06858110259716,11.666206476949
"Y_453","Y_197",1,0.80070772941947,2.29978422137748,0.357297635914872,1.94384720372497
"Y_293","Y_197",1,0.80070772941947,2.29978422137748,1.24411782292407,2.65572123902999
"Y_741","Y_196",1,8.19434514506153,-7.97976894684141,8.09614285973591,-8.11586389654356
"Y_374","Y_196",1,8.19434514506153,-7.97976894684141,8.31492502361954,-7.81460690601729
"Y_283","Y_191",1,6.93710395415818,-4.84898655875671,7.0571831583517,-5.03839968751517
"Y_514","Y_190",1,-5.28199241905804,-8.27888013322771,-5.10941763080385,-8.28549524411378
"Y_835","Y_184",1,-4.54016857614373,10.4819434287821,-4.49880149032792,10.3417452205154
"Y_835","Y_86",1,-4.55658557848855,10.1996175869889,-4.49880149032792,10.3417452205154
"Y_367","Y_183",1,-4.87227523391284,-9.07383732134364,-4.56889129513689,-9.20352541908987
"Y_848","Y_182",1,5.24497124584816,5.43267685511325,5.15277430183969,5.3156481161658
"Y_848","Y_93",1,5.13765405401783,5.18961929498383,5.15277430183969,5.3156481161658
"Y_393","Y_180",1,7.22846545896919,-5.69724382972193,7.16108855423777,-5.54490935755351
"Y_417","Y_178",1,5.37653976978641,6.17111271656139,5.52349583005397,6.26686540804428
"Y_417","Y_149",1,5.70266717800953,6.14731008833169,5.52349583005397,6.26686540804428
"Y_364","Y_178",1,5.37653976978641,6.17111271656139,5.25945273279348,6.06195388665274
"Y_715","Y_175",1,6.70224186553415,12.1662107817269,6.74106725558418,12.3458002852394
"Y_710","Y_174",1,-3.92200086000978,12.220214435585,-3.72803343712598,12.0282485678583
"Y_296","Y_171",1,7.17558397670537,-7.65516434489787,7.24210931912485,-7.83159301347744
"Y_296","Y_122",1,7.31002279735114,-8.06212932830792,7.24210931912485,-7.83159301347744
"Y_582","Y_170",1,6.60558439177543,13.1676043747051,6.53313841900073,13.0113946945928
"Y_175","Y_169",1,6.11458905761146,11.7852100425151,6.70224186553415,12.1662107817269
"Y_173","Y_167",1,-13.1065705626964,2.20693879254786,-13.3135674311001,2.33979277596245
"Y_173","Y_156",1,-13.415320506754,2.442312687039,-13.3135674311001,2.33979277596245
"Y_185","Y_119",1,-9.4188130696276,4.86797611009018,-9.26246806876703,4.88397891126824
"Y_185","Y_162",1,-9.13583344185518,4.90796703627168,-9.26246806876703,4.88397891126824
"Y_192","Y_161",1,-9.99391412752902,4.84141485464428,-10.2251208487115,4.73381298731604
"Y_192","Y_138",1,-10.4223949902021,4.68572472516999,-10.2251208487115,4.73381298731604
"Y_597","Y_159",1,2.99957390830083,-3.142734850064,2.99600233882074,-3.39861161443148
"Y_461","Y_157",1,4.87018977710738,7.5924248312862,4.96388164751561,7.44459642013408
"Y_445","Y_155",1,-3.15827816153833,5.56937621391895,-3.5294322807227,4.9832449058797
"Y_177","Y_34",1,4.475641214662,8.20315669454067,4.2908859718151,8.21240823734702
"Y_177","Y_154",1,4.18542686526084,8.43663077948602,4.2908859718151,8.21240823734702
"Y_168","Y_153",1,-7.92193877818774,4.61357471626737,-7.8119585574425,4.4404731277189
"Y_168","Y_112",1,-7.58038353445434,4.4926834213616,-7.8119585574425,4.4404731277189
"Y_322","Y_152",1,-3.24046146139408,-9.98882351850843,-2.77715889679887,-10.2543675975517
"Y_368","Y_150",1,7.68476458214582,-6.01698783100876,7.51368483771254,-5.88509862200946
"Y_368","Y_9",1,7.39833730430466,-5.74219203322565,7.51368483771254,-5.88509862200946
"Y_576","Y_149",1,5.70266717800953,6.14731008833169,6.0744312236659,6.06439273166703
"Y_476","Y_146",1,-1.57391311841033,-12.0754515957202,-1.6554141972826,-11.9014553373557
"Y_429","Y_145",1,4.91263137059928,4.81252916531983,4.84256687313153,4.6799191793807
"Y_338","Y_145",1,4.91263137059928,4.81252916531983,4.9028871218314,4.92173551686959
"Y_702","Y_50",1,-8.61441946760075,-0.468203334940157,-8.58739379971575,-0.200415131192733
"Y_702","Y_144",1,-8.599050960259,0.0801511061614437,-8.58739379971575,-0.200415131192733
"Y_603","Y_143",1,-4.61573371669923,10.9735166459492,-4.77528158686899,10.9031822013009
"Y_574","Y_73",1,-4.4652510844904,11.3100774083569,-4.55547124467903,11.1563501537634
"Y_574","Y_143",1,-4.61573371669923,10.9735166459492,-4.55547124467903,11.1563501537634
"Y_593","Y_140",1,5.4949578920605,-4.94987899323291,5.49763360399095,-5.10912205387577
"Y_324","Y_137",1,9.9567275642965,-1.79464725593689,9.79812799175878,-1.72083471355013
"Y_307","Y_137",1,9.9567275642965,-1.79464725593689,9.94850455974513,-1.63332328081616
"Y_142","Y_136",1,-12.0623120688953,3.88094499070062,-11.7605208419529,3.85705459402087
"Y_142","Y_92",1,-11.5571947958638,4.10097869296044,-11.7605208419529,3.85705459402087
"Y_136","Y_135",1,-12.0699231696247,3.53874563999496,-12.0623120688953,3.88094499070062
"Y_151","Y_96",1,-11.0293384872156,4.66556167598332,-10.8087162354212,4.8050384066783
"Y_151","Y_134",1,-10.6698341602449,4.61428053382478,-10.8087162354212,4.8050384066783
"Y_138","Y_134",1,-10.6698341602449,4.61428053382478,-10.4223949902021,4.68572472516999
"Y_451","Y_133",1,8.1713723470166,-7.60463539861554,8.17169409907257,-7.46848882966353
"Y_186","Y_100",1,-12.5644139159824,3.23625434938285,-12.7875499188354,3.21597900673845
"Y_186","Y_129",1,-12.9588877335142,2.965948953227,-12.7875499188354,3.21597900673845
"Y_158","Y_127",1,4.41728508191567,4.67445247992351,4.42907277508287,4.47204600107059
